,SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,STD_ITEM_CODE,STD_ITEM_NAME,AMOUNT
102,00700.HK,00700,腾讯控股,10009066,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,004030997,其他全面收益其他项目,34950000000.0
103,00700.HK,00700,腾讯控股,10009066,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,004030999,其他全面收益,34950000000.0
104,00700.HK,00700,腾讯控股,10009066,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,004039999,全面收益总额,125967000000.0
105,00700.HK,00700,腾讯控股,10009066,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,004040001,非控股权益应占全面收益总额,2591000000.0
106,00700.HK,00700,腾讯控股,10009066,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,004040002,本公司拥有人应占全面收益总额,123376000000.0
107,00700.HK,00700,腾讯控股,10009066,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,004099999,非运算项目,-150853000000.0
108,00700.HK,00700,腾讯控股,10009066,2024-03-31 00:00:00,003,12-31,2024-01-01 00:00:00,004001001,营业额,157437000000.0
109,00700.HK,00700,腾讯控股,10009066,2024-03-31 00:00:00,003,12-31,2024-01-01 00:00:00,004001002,其他营业收入,2064000000.0
110,00700.HK,00700,腾讯控股,10009066,2024-03-31 00:00:00,003,12-31,2024-01-01 00:00:00,004001999,营运收入,159501000000.0
111,00700.HK,00700,腾讯控股,10009066,2024-03-31 00:00:00,003,12-31,2024-01-01 00:00:00,004005001,营运支出,75631000000.0
112,00700.HK,00700,腾讯控股,10009066,2024-03-31 00:00:00,003,12-31,2024-01-01 00:00:00,004007999,毛利,83870000000.0
113,00700.HK,00700,腾讯控股,10009066,2024-03-31 00:00:00,003,12-31,2024-01-01 00:00:00,004010002,其他收益,1031000000.0
114,00700.HK,00700,腾讯控股,10009066,2024-03-31 00:00:00,003,12-31,2024-01-01 00:00:00,004010003,销售及分销费用,7536000000.0
115,00700.HK,00700,腾讯控股,10009066,2024-03-31 00:00:00,003,12-31,2024-01-01 00:00:00,004010004,行政开支,24809000000.0
116,00700.HK,00700,腾讯控股,10009066,2024-03-31 00:00:00,003,12-31,2024-01-01 00:00:00,004010999,经营溢利,52556000000.0
117,00700.HK,00700,腾讯控股,10009066,2024-03-31 00:00:00,003,12-31,2024-01-01 00:00:00,004011200,利息收入,4248000000.0
118,00700.HK,00700,腾讯控股,10009066,2024-03-31 00:00:00,003,12-31,2024-01-01 00:00:00,004011201,融资成本,2826000000.0
119,00700.HK,00700,腾讯控股,10009066,2024-03-31 00:00:00,003,12-31,2024-01-01 00:00:00,004011202,应占联营公司溢利,2186000000.0
120,00700.HK,00700,腾讯控股,10009066,2024-03-31 00:00:00,003,12-31,2024-01-01 00:00:00,004011997,溢利其他项目,656000000.0
121,00700.HK,00700,腾讯控股,10009066,2024-03-31 00:00:00,003,12-31,2024-01-01 00:00:00,004011999,除税前溢利,56820000000.0
122,00700.HK,00700,腾讯控股,10009066,2024-03-31 00:00:00,003,12-31,2024-01-01 00:00:00,004012001,税项,14169000000.0
123,00700.HK,00700,腾讯控股,10009066,2024-03-31 00:00:00,003,12-31,2024-01-01 00:00:00,004012002,持续经营业务税后利润,42651000000.0
124,00700.HK,00700,腾讯控股,10009066,2024-03-31 00:00:00,003,12-31,2024-01-01 00:00:00,004012999,除税后溢利,42651000000.0
125,00700.HK,00700,腾讯控股,10009066,2024-03-31 00:00:00,003,12-31,2024-01-01 00:00:00,004025001,少数股东损益,762000000.0
126,00700.HK,00700,腾讯控股,10009066,2024-03-31 00:00:00,003,12-31,2024-01-01 00:00:00,004025002,股东应占溢利,41889000000.0
127,00700.HK,00700,腾讯控股,10009066,2024-03-31 00:00:00,003,12-31,2024-01-01 00:00:00,004027002,每股基本盈利,4.479
128,00700.HK,00700,腾讯控股,10009066,2024-03-31 00:00:00,003,12-31,2024-01-01 00:00:00,004027003,每股摊薄盈利,4.386
