,SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,STD_ITEM_CODE,STD_ITEM_NAME,AMOUNT
99,01378.HK,01378,中国宏桥,10174782,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004030999,其他全面收益,-206455000.0
100,01378.HK,01378,中国宏桥,10174782,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004039999,全面收益总额,16642344000.0
101,01378.HK,01378,中国宏桥,10174782,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004040001,非控股权益应占全面收益总额,746278000.0
102,01378.HK,01378,中国宏桥,10174782,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004040002,本公司拥有人应占全面收益总额,15896066000.0
103,01378.HK,01378,中国宏桥,10174782,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004099999,非运算项目,-84037845000.0
104,01378.HK,01378,中国宏桥,10174782,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004001001,营业额,86144641000.0
105,01378.HK,01378,中国宏桥,10174782,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004001999,营运收入,86144641000.0
106,01378.HK,01378,中国宏桥,10174782,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004005002,销售成本,66789453000.0
107,01378.HK,01378,中国宏桥,10174782,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004007999,毛利,19355188000.0
108,01378.HK,01378,中国宏桥,10174782,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004010001,其他收入,2700719000.0
109,01378.HK,01378,中国宏桥,10174782,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004010003,销售及分销费用,399894000.0
110,01378.HK,01378,中国宏桥,10174782,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004010004,行政开支,4052174000.0
111,01378.HK,01378,中国宏桥,10174782,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004010006,重估盈余,-291255000.0
112,01378.HK,01378,中国宏桥,10174782,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004010012,其他支出,616586000.0
113,01378.HK,01378,中国宏桥,10174782,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004010999,经营溢利,16695998000.0
114,01378.HK,01378,中国宏桥,10174782,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004011201,融资成本,4506236000.0
115,01378.HK,01378,中国宏桥,10174782,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004011202,应占联营公司溢利,514588000.0
116,01378.HK,01378,中国宏桥,10174782,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004011999,除税前溢利,12704350000.0
117,01378.HK,01378,中国宏桥,10174782,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004012001,税项,2259599000.0
118,01378.HK,01378,中国宏桥,10174782,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004012999,除税后溢利,10444751000.0
119,01378.HK,01378,中国宏桥,10174782,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004025001,少数股东损益,-51185000.0
120,01378.HK,01378,中国宏桥,10174782,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004025002,股东应占溢利,10495936000.0
121,01378.HK,01378,中国宏桥,10174782,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004027002,每股基本盈利,1.221
122,01378.HK,01378,中国宏桥,10174782,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004027003,每股摊薄盈利,1.221
123,01378.HK,01378,中国宏桥,10174782,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004030997,其他全面收益其他项目,-419876000.0
124,01378.HK,01378,中国宏桥,10174782,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004030999,其他全面收益,-419876000.0
125,01378.HK,01378,中国宏桥,10174782,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004039999,全面收益总额,10024875000.0
126,01378.HK,01378,中国宏桥,10174782,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004040001,非控股权益应占全面收益总额,-150187000.0
127,01378.HK,01378,中国宏桥,10174782,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004040002,本公司拥有人应占全面收益总额,10175062000.0
128,01378.HK,01378,中国宏桥,10174782,2020-12-31 00:00:00,001,12-31,2020-01-01 00:00:00,004099999,非运算项目,20107047000.0
129,01378.HK,01378,中国宏桥,10174782,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004001001,营业额,84179288000.0
130,01378.HK,01378,中国宏桥,10174782,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004001999,营运收入,84179288000.0
131,01378.HK,01378,中国宏桥,10174782,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004005002,销售成本,67715035000.0
132,01378.HK,01378,中国宏桥,10174782,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004007999,毛利,16464253000.0
133,01378.HK,01378,中国宏桥,10174782,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004010001,其他收入,3140517000.0
134,01378.HK,01378,中国宏桥,10174782,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004010003,销售及分销费用,449041000.0
135,01378.HK,01378,中国宏桥,10174782,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004010004,行政开支,3645691000.0
136,01378.HK,01378,中国宏桥,10174782,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004010006,重估盈余,138077000.0
137,01378.HK,01378,中国宏桥,10174782,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004010012,其他支出,2166798000.0
138,01378.HK,01378,中国宏桥,10174782,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004010999,经营溢利,13481317000.0
139,01378.HK,01378,中国宏桥,10174782,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004011201,融资成本,5219595000.0
140,01378.HK,01378,中国宏桥,10174782,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004011202,应占联营公司溢利,509345000.0
141,01378.HK,01378,中国宏桥,10174782,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004011999,除税前溢利,8771067000.0
142,01378.HK,01378,中国宏桥,10174782,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004012001,税项,2315924000.0
143,01378.HK,01378,中国宏桥,10174782,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004012999,除税后溢利,6455143000.0
144,01378.HK,01378,中国宏桥,10174782,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004025001,少数股东损益,359808000.0
145,01378.HK,01378,中国宏桥,10174782,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004025002,股东应占溢利,6095335000.0
146,01378.HK,01378,中国宏桥,10174782,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004027002,每股基本盈利,0.7087
147,01378.HK,01378,中国宏桥,10174782,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004027003,每股摊薄盈利,0.6979
148,01378.HK,01378,中国宏桥,10174782,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004030997,其他全面收益其他项目,-546897000.0
149,01378.HK,01378,中国宏桥,10174782,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004030999,其他全面收益,-546897000.0
150,01378.HK,01378,中国宏桥,10174782,2019-12-31 00:00:00,001,12-31,2019-01-01 00:00:00,004039999,全面收益总额,5908246000.0
